mua_ex[1/cm]    mus_ex[1/cm]    mua_em[1/cm]    mus_em[1/cm]    PHD_Int[1/cm2]
1.0000E+00      2.5763E+00      1.0000E-01      5.9948E+00      1.2621E+02
1.0000E+00      2.5763E+00      1.0000E-01      1.6681E+01      8.6154E+01
1.0000E+00      2.5763E+00      1.0000E-01      4.6416E+01      5.8571E+01
1.0000E+00      2.5763E+00      1.0000E-01      1.2915E+02      4.4627E+01
1.0000E+00      2.5763E+00      1.0000E-01      3.5938E+02      4.4396E+01
1.0000E+00      2.5763E+00      1.0000E-01      1.0000E+03      5.6205E+01
1.0000E+00      2.5763E+00      1.6238E-01      1.0000E-01      3.7076E+02
1.0000E+00      2.5763E+00      1.6238E-01      2.7826E-01      2.8688E+02
1.0000E+00      2.5763E+00      1.6238E-01      7.7426E-01      2.1742E+02
1.0000E+00      2.5763E+00      1.6238E-01      2.1544E+00      1.6877E+02
1.0000E+00      2.5763E+00      1.6238E-01      5.9948E+00      1.2477E+02
1.0000E+00      2.5763E+00      1.6238E-01      1.6681E+01      8.5396E+01
1.0000E+00      2.5763E+00      1.6238E-01      4.6416E+01      5.8060E+01
1.0000E+00      2.5763E+00      1.6238E-01      1.2915E+02      4.4112E+01
1.0000E+00      2.5763E+00      1.6238E-01      3.5938E+02      4.3592E+01
1.0000E+00      2.5763E+00      1.6238E-01      1.0000E+03      5.4776E+01
1.0000E+00      2.5763E+00      2.6367E-01      1.0000E-01      3.0502E+02
1.0000E+00      2.5763E+00      2.6367E-01      2.7826E-01      2.5708E+02
1.0000E+00      2.5763E+00      2.6367E-01      7.7426E-01      2.0683E+02
1.0000E+00      2.5763E+00      2.6367E-01      2.1544E+00      1.6436E+02
1.0000E+00      2.5763E+00      2.6367E-01      5.9948E+00      1.2261E+02
1.0000E+00      2.5763E+00      2.6367E-01      1.6681E+01      8.4332E+01
1.0000E+00      2.5763E+00      2.6367E-01      4.6416E+01      5.7428E+01
1.0000E+00      2.5763E+00      2.6367E-01      1.2915E+02      4.3484E+01
1.0000E+00      2.5763E+00      2.6367E-01      3.5938E+02      4.2575E+01
1.0000E+00      2.5763E+00      2.6367E-01      1.0000E+03      5.2981E+01
1.0000E+00      2.5763E+00      4.2813E-01      1.0000E-01      2.5088E+02
1.0000E+00      2.5763E+00      4.2813E-01      2.7826E-01      2.2616E+02
1.0000E+00      2.5763E+00      4.2813E-01      7.7426E-01      1.9308E+02
1.0000E+00      2.5763E+00      4.2813E-01      2.1544E+00      1.5793E+02
1.0000E+00      2.5763E+00      4.2813E-01      5.9948E+00      1.1936E+02
1.0000E+00      2.5763E+00      4.2813E-01      1.6681E+01      8.2793E+01
1.0000E+00      2.5763E+00      4.2813E-01      4.6416E+01      5.6584E+01
1.0000E+00      2.5763E+00      4.2813E-01      1.2915E+02      4.2684E+01
1.0000E+00      2.5763E+00      4.2813E-01      3.5938E+02      4.1301E+01
1.0000E+00      2.5763E+00      4.2813E-01      1.0000E+03      5.0762E+01
1.0000E+00      2.5763E+00      6.9519E-01      1.0000E-01      2.0827E+02
1.0000E+00      2.5763E+00      6.9519E-01      2.7826E-01      1.9640E+02
1.0000E+00      2.5763E+00      6.9519E-01      7.7426E-01      1.7629E+02
1.0000E+00      2.5763E+00      6.9519E-01      2.1544E+00      1.4880E+02
1.0000E+00      2.5763E+00      6.9519E-01      5.9948E+00      1.1455E+02
1.0000E+00      2.5763E+00      6.9519E-01      1.6681E+01      8.0521E+01
1.0000E+00      2.5763E+00      6.9519E-01      4.6416E+01      5.5404E+01
1.0000E+00      2.5763E+00      6.9519E-01      1.2915E+02      4.1648E+01
1.0000E+00      2.5763E+00      6.9519E-01      3.5938E+02      3.9724E+01
1.0000E+00      2.5763E+00      6.9519E-01      1.0000E+03      4.8067E+01
1.0000E+00      2.5763E+00      1.1288E+00      1.0000E-01      1.7405E+02
1.0000E+00      2.5763E+00      1.1288E+00      2.7826E-01      1.6837E+02
1.0000E+00      2.5763E+00      1.1288E+00      7.7426E-01      1.5660E+02
1.0000E+00      2.5763E+00      1.1288E+00      2.1544E+00      1.3638E+02
1.0000E+00      2.5763E+00      1.1288E+00      5.9948E+00      1.0759E+02
1.0000E+00      2.5763E+00      1.1288E+00      1.6681E+01      7.7161E+01
1.0000E+00      2.5763E+00      1.1288E+00      4.6416E+01      5.3706E+01
1.0000E+00      2.5763E+00      1.1288E+00      1.2915E+02      4.0298E+01
1.0000E+00      2.5763E+00      1.1288E+00      3.5938E+02      3.7810E+01
1.0000E+00      2.5763E+00      1.1288E+00      1.0000E+03      4.4864E+01
1.0000E+00      2.5763E+00      1.8330E+00      1.0000E-01      1.4398E+02
1.0000E+00      2.5763E+00      1.8330E+00      2.7826E-01      1.4110E+02
1.0000E+00      2.5763E+00      1.8330E+00      7.7426E-01      1.3422E+02
1.0000E+00      2.5763E+00      1.8330E+00      2.1544E+00      1.2028E+02
1.0000E+00      2.5763E+00      1.8330E+00      5.9948E+00      9.7904E+01
1.0000E+00      2.5763E+00      1.8330E+00      1.6681E+01      7.2293E+01
1.0000E+00      2.5763E+00      1.8330E+00      4.6416E+01      5.1256E+01
1.0000E+00      2.5763E+00      1.8330E+00      1.2915E+02      3.8532E+01
1.0000E+00      2.5763E+00      1.8330E+00      3.5938E+02      3.5517E+01
1.0000E+00      2.5763E+00      1.8330E+00      1.0000E+03      4.1141E+01
1.0000E+00      2.5763E+00      2.9764E+00      1.0000E-01      1.1500E+02
1.0000E+00      2.5763E+00      2.9764E+00      2.7826E-01      1.1347E+02
1.0000E+00      2.5763E+00      2.9764E+00      7.7426E-01      1.0955E+02
1.0000E+00      2.5763E+00      2.9764E+00      2.1544E+00      1.0077E+02
1.0000E+00      2.5763E+00      2.9764E+00      5.9948E+00      8.5235E+01
1.0000E+00      2.5763E+00      2.9764E+00      1.6681E+01      6.5513E+01
1.0000E+00      2.5763E+00      2.9764E+00      4.6416E+01      4.7792E+01
1.0000E+00      2.5763E+00      2.9764E+00      1.2915E+02      3.6227E+01
1.0000E+00      2.5763E+00      2.9764E+00      3.5938E+02      3.2817E+01
1.0000E+00      2.5763E+00      2.9764E+00      1.0000E+03      3.6925E+01
1.0000E+00      2.5763E+00      4.8329E+00      1.0000E-01      8.6897E+01
1.0000E+00      2.5763E+00      4.8329E+00      2.7826E-01      8.6161E+01
1.0000E+00      2.5763E+00      4.8329E+00      7.7426E-01      8.4160E+01
1.0000E+00      2.5763E+00      4.8329E+00      2.1544E+00      7.9385E+01
1.0000E+00      2.5763E+00      4.8329E+00      5.9948E+00      7.0067E+01
1.0000E+00      2.5763E+00      4.8329E+00      1.6681E+01      5.6682E+01
1.0000E+00      2.5763E+00      4.8329E+00      4.6416E+01      4.3081E+01
1.0000E+00      2.5763E+00      4.8329E+00      1.2915E+02      3.3245E+01
1.0000E+00      2.5763E+00      4.8329E+00      3.5938E+02      2.9682E+01
1.0000E+00      2.5763E+00      4.8329E+00      1.0000E+03      3.2257E+01
1.0000E+00      2.5763E+00      7.8476E+00      1.0000E-01      6.1775E+01
1.0000E+00      2.5763E+00      7.8476E+00      2.7826E-01      6.1419E+01
1.0000E+00      2.5763E+00      7.8476E+00      7.7426E-01      6.0660E+01
1.0000E+00      2.5763E+00      7.8476E+00      2.1544E+00      5.8517E+01
1.0000E+00      2.5763E+00      7.8476E+00      5.9948E+00      5.3858E+01
1.0000E+00      2.5763E+00      7.8476E+00      1.6681E+01      4.6176E+01
1.0000E+00      2.5763E+00      7.8476E+00      4.6416E+01      3.7041E+01
1.0000E+00      2.5763E+00      7.8476E+00      1.2915E+02      2.9466E+01
1.0000E+00      2.5763E+00      7.8476E+00      3.5938E+02      2.6084E+01
1.0000E+00      2.5763E+00      7.8476E+00      1.0000E+03      2.6981E+01
1.0000E+00      2.5763E+00      1.2743E+01      1.0000E-01      4.0270E+01
1.0000E+00      2.5763E+00      1.2743E+01      2.7826E-01      4.1445E+01
1.0000E+00      2.5763E+00      1.2743E+01      7.7426E-01      4.1316E+01
1.0000E+00      2.5763E+00      1.2743E+01      2.1544E+00      4.0555E+01
1.0000E+00      2.5763E+00      1.2743E+01      5.9948E+00      3.8685E+01
1.0000E+00      2.5763E+00      1.2743E+01      1.6681E+01      3.5053E+01
1.0000E+00      2.5763E+00      1.2743E+01      4.6416E+01      2.9899E+01
1.0000E+00      2.5763E+00      1.2743E+01      1.2915E+02      2.4816E+01
1.0000E+00      2.5763E+00      1.2743E+01      3.5938E+02      2.1891E+01
1.0000E+00      2.5763E+00      1.2743E+01      1.0000E+03      2.0903E+01
1.0000E+00      2.5763E+00      2.0691E+01      1.0000E-01      2.4802E+01
1.0000E+00      2.5763E+00      2.0691E+01      2.7826E-01      2.6588E+01
1.0000E+00      2.5763E+00      2.0691E+01      7.7426E-01      2.6330E+01
1.0000E+00      2.5763E+00      2.0691E+01      2.1544E+00      2.6613E+01
1.0000E+00      2.5763E+00      2.0691E+01      5.9948E+00      2.6164E+01
1.0000E+00      2.5763E+00      2.0691E+01      1.6681E+01      2.4801E+01
1.0000E+00      2.5763E+00      2.0691E+01      4.6416E+01      2.2428E+01
1.0000E+00      2.5763E+00      2.0691E+01      1.2915E+02      1.9461E+01
1.0000E+00      2.5763E+00      2.0691E+01      3.5938E+02      1.7009E+01
1.0000E+00      2.5763E+00      2.0691E+01      1.0000E+03      1.4824E+01
1.0000E+00      2.5763E+00      3.3598E+01      1.0000E-01      1.3786E+01
1.0000E+00      2.5763E+00      3.3598E+01      2.7826E-01      1.3751E+01
1.0000E+00      2.5763E+00      3.3598E+01      7.7426E-01      1.5971E+01
1.0000E+00      2.5763E+00      3.3598E+01      2.1544E+00      1.6647E+01
1.0000E+00      2.5763E+00      3.3598E+01      5.9948E+00      1.6762E+01
1.0000E+00      2.5763E+00      3.3598E+01      1.6681E+01      1.6518E+01
1.0000E+00      2.5763E+00      3.3598E+01      4.6416E+01      1.5656E+01
1.0000E+00      2.5763E+00      3.3598E+01      1.2915E+02      1.4263E+01
1.0000E+00      2.5763E+00      3.3598E+01      3.5938E+02      1.2545E+01
1.0000E+00      2.5763E+00      3.3598E+01      1.0000E+03      1.0190E+01
1.0000E+00      2.5763E+00      5.4556E+01      1.0000E-01      6.3223E+00
1.0000E+00      2.5763E+00      5.4556E+01      2.7826E-01      6.3031E+00
1.0000E+00      2.5763E+00      5.4556E+01      7.7426E-01      8.4855E+00
1.0000E+00      2.5763E+00      5.4556E+01      2.1544E+00      8.2238E+00
1.0000E+00      2.5763E+00      5.4556E+01      5.9948E+00      9.3804E+00
1.0000E+00      2.5763E+00      5.4556E+01      1.6681E+01      1.0398E+01
1.0000E+00      2.5763E+00      5.4556E+01      4.6416E+01      1.0271E+01
1.0000E+00      2.5763E+00      5.4556E+01      1.2915E+02      9.7538E+00
1.0000E+00      2.5763E+00      5.4556E+01      3.5938E+02      8.8130E+00
1.0000E+00      2.5763E+00      5.4556E+01      1.0000E+03      6.9515E+00
1.0000E+00      2.5763E+00      8.8587E+01      1.0000E-01      1.9717E+00
1.0000E+00      2.5763E+00      8.8587E+01      2.7826E-01      1.9633E+00
1.0000E+00      2.5763E+00      8.8587E+01      7.7426E-01      1.9418E+00
